recording,sweep_number,local_sweep,current_injection,spike_count,condition,path,timestamp,ap_peak_voltage,ap_peak_time,ahp_peak,ahp_peak_time,half_voltage,half_width,ap_amplitude,ahp_amplitude,sweep_threshold,ap_threshold,first_crossing,second_crossing,ap_count,n_aps_averaged
2025_05_06_0006,11,11,120.0,5,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0008_Steps_300.abf,0.27740000000000004,-11.364757,0.27740000000000004,-63.031017,0.2791,-30.258698,0.36666666666667425,36.706543,14.959717,-31.17273712158203,-48.0713,0.2772,0.2777,1.0,3
2025_05_06_0021,7,7,40.0,3,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0023_Steps_300.abf,0.254,0.66934204,0.254,-74.72942,0.2549,-27.370209,8.533333333333266,54.275513,21.123253,-37.83413314819336,-53.60617,0.25420000000000004,0.26680000000000004,1.0,3
2025_05_06_0034,13,13,160.0,2,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_06_0035_Steps_300.abf,0.3124,-0.703949,0.3124,-67.44589,0.3136,-25.452942,0.4499999999999602,48.69919,18.042755,-32.02019500732422,-49.403137,0.31220000000000003,0.3126,1.0,2
2025_05_08_0036,12,12,140.0,2,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0037_Steps_300.abf,0.2657,6.74234,0.2657,-72.78647,0.26680000000000004,-25.632996,0.4499999999999602,62.18643,17.342377,-36.11873245239258,-55.44409,0.2655,0.266,1.0,2
2025_05_08_0051,11,11,120.0,1,Condition 1,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 1/2025_05_08_0053_Steps_300.abf,0.2574,-6.4412537,0.2574,-63.753265,0.2591,-28.267426,0.5999999999999659,43.652344,13.659668,-26.88873672485352,-50.093597,0.2571,0.2577,1.0,1
2025_05_06_0012,6,6,20.0,4,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_06_0014_Steps_300.abf,0.2581,3.2735088,0.2581,-68.62591,0.30710000000000004,-28.104156,0.39999999999997726,60.21169,11.687724,-47.765960693359375,-56.938183,0.2576,0.2577,1.0,3
2025_05_08_0023,10,10,100.0,2,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0025_Steps_300.abf,0.5962000000000001,19.407135,0.5962000000000001,-66.80502,0.6401,-13.972992,0.8000000000000682,66.760254,19.451904,-40.544681549072266,-47.35312,0.5959,0.5967,1.0,2
2025_05_08_0046,10,10,100.0,22,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0047_Steps_300.abf,0.3388,3.3854065,0.3388,-62.135834,0.34950000000000003,-20.168823,0.39999999999997726,46.773785,18.747458,-33.23099899291992,-43.38838,0.33840000000000003,0.3385,1.0,3
2025_05_08_0057,9,9,80.0,2,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_05_08_0059_Steps_300.abf,0.8638,25.327545,0.8638,-62.837738,0.8676,-10.578674,1.2999999999999545,71.81244,16.352844,-38.241973876953125,-46.484894,0.8633000000000001,0.8646,1.0,2
2025_06_03_0005,9,9,80.0,4,Condition 2,/Users/garrett/Desktop/Analyses/Patch Clamp/Condition 2/2025_06_03_0006_Steps_300.abf,0.3421,28.745514,0.3421,-66.67278,0.3633,-12.725586,0.5,83.03375,12.3845415,-42.83022689819336,-54.28824,0.3418,0.3425,1.0,3
